id,timestamp,volcano_filter,alert_level,latitude,longitude,elevation,tinggi_letusan_m,kec_angin_km_jam,arah_angin_deg,amplitudo,duration,jarak_km,luas_km2,sudut_deg,radius_km
1652,2021-02-09 23:43:00 UTC,Raung,Orange,-8.123735264359517,114.03908039854336,3332,1278.6571745971514,7.045481139138975,231.39535315625147,12.621365791003136,121.87878224747779,34.4944202916193,0.0,309.17176589821486,9.513490799400417
1667,2025-06-17 10:56:00 UTC,Raung,Orange,-8.123313919892817,114.03857519663684,3332,19724.5341820056,7.991022833231135,129.58818275150242,5.237927849311639,119.207848668498,50.53560738258274,185.61067857483263,350.568294968239,25.311322074663913
1551,2025-07-19 02:40:00 UTC,Semeru,Orange,-8.105095845032986,112.91835870597014,3676,596.9559129836379,0.695738811617896,193.86493814944595,22.417334058816483,27.752156590084823,12.836211678759897,479.7635991354117,6.915085587144802,4.513696930995397
1693,2021-01-22 00:13:00 UTC,Raung,Yellow,-8.124275490740747,114.04054711283665,3332,20856.325768898918,12.042611612178657,85.59555841685687,13.915069961463914,126.25582402552133,27.14243163575661,350.3624045683049,252.4246049979927,21.819699232452944
1632,2016-04-03 04:21:00 UTC,Bromo,Orange,-7.941558906024593,112.95192809479657,2329,8656.536600309826,6.96726201868365,136.54067939488667,8.980861144180384,124.0024209541488,85.91176485376445,817.289461478329,218.91514573346203,22.36266519936665
1669,2025-06-22 00:40:00 UTC,Raung,Orange,-8.123313602801376,114.03907620064359,3332,24571.17775151151,0.8114651750705546,-19.66873991562784,11.74483538605147,127.96724954715881,38.21295730197312,0.0,322.8136962121889,10.97690314757465
1083,2025-12-19 18:17:00 UTC,Semeru,Orange,-8.106574809789103,112.91870275076302,3676,482.69061170969974,-1.4005518585445031,122.77255886186407,22.242421677097855,90.11105986905423,16.83638601874546,194.0499777734388,134.5621288331836,3.5010698748806353
783,2025-04-09 03:22:00 UTC,Semeru,Orange,-8.10813351153007,112.92019229575824,3676,441.8135667096666,-0.888662138094614,139.2615733247174,20.179935925029664,71.17931016201194,9.851159195520182,224.67838779094578,112.59835795415208,3.6162420084625193
1654,2016-10-19 01:12:00 UTC,Bromo,Yellow,-7.940722278642863,112.95286987783545,2329,8259.52166227051,10.01050941645643,81.31131120722131,7.213676224020117,123.99828385071001,79.7958316131423,431.7019872252257,228.15914944819792,0.0
1643,2025-06-18 13:55:00 UTC,Raung,Orange,-8.12552691442801,114.04085119705309,3332,3346.551436056397,1.5705237439666866,95.40571202773693,11.073083723260236,121.61140761092192,39.66556048313602,1812.72592219654,338.2069141069597,0.5342348681891949
354,2025-07-08 01:41:00 UTC,Semeru,Orange,-8.105431102093627,112.91725440629014,3676,492.93618210960614,2.410353913934605,220.75731793779252,22.037688031848564,72.55361588178286,7.198819730205339,282.8129072847793,123.74481613395116,1.8566010786410247
1680,2025-06-13 17:25:00 UTC,Raung,Orange,-8.125487570539097,114.03962696787201,3332,2209.759219487371,11.083012345324121,288.17639283533595,5.824254098857682,120.90290521618492,18.689611309836298,0.0,0.11905123492795155,12.337669975421194
1694,2025-06-18 17:48:00 UTC,Raung,Orange,-8.12386161311223,114.04093820951154,3332,3099.587009792133,1.5895737197518467,-34.98313572494038,4.617918903874779,127.50221145922974,50.40758440293391,182.0803861410879,16.07854060862735,26.54226967833167
1641,2019-03-13 00:35:00 UTC,Bromo,Yellow,-7.941332478854118,112.94920527021287,2329,10888.180357441071,9.296515034962837,234.31182954718344,8.93106099718136,124.00036159140001,16.74296448978174,442.01641298907964,204.9266039830878,1.0812850999993415
1614,2016-10-19 01:12:00 UTC,Bromo,Orange,-7.941574937861031,112.9501245160451,2329,11005.788658151787,5.732075466260013,130.36771715278115,8.819738814860472,124.00131582959675,0.0,943.5039492279882,205.13569660969398,0.0
1625,2019-03-27 00:56:00 UTC,Bromo,Orange,-7.94191587677713,112.9500747398594,2329,9983.033779109628,4.655591219014993,369.8678762330088,9.010230931962043,123.99835741868075,86.06249496280736,1178.627693547365,226.51965593218634,4.763199589842458
