Volcano_Filter,Volcano_Code_Filter,Timestamp,Alert_Level,Volcano_Report,Author_Observatory,Description,Detail_Link,Page,Volcano_Name,Volcano_Code,Issued_Time,Current_Color_Code,Previous_Color_Code,Notice_Number,Volcano_Location,Latitude,Longitude,Area,Summit_Elevation_FT,Summit_Elevation_M,Volcanic_Activity_Summary,Volcanic_Cloud_Height,Other_Volcanic_Cloud_Info,Remarks
Semeru,SMR,2026-03-05 12:44:00 UTC,Orange,Semeru - 20260305/1244Z,"Liswanto, A.P., Semeru Volcano Observatory - 1 hour ago",Eruption at 1244 UTC (1944 local). Ash-cloud is not observed. Ash-cloud is not observed..,https://magma.esdm.go.id/v1/vona/20398?signature=12934de79468327faddaf65ca3f82803d5829c57af80e75d16319b46f9c04021,1,Semeru,263300,20260305/1244Z,ORANGE,orange,2026SMR428,S 08 deg 06 min 29 sec E 112 deg 55 min 12 sec,-8.108055555555556,112.92,"East java, Indonesia",11763,3676,Eruption at 1244 UTC (1944 local).,Ash-cloud is not observed.,Ash-cloud is not observed.,Eruption recorded on seismogram with maximum amplitude 22 mm and maximum duration 101 second.
Semeru,SMR,2026-03-05 12:00:00 UTC,Orange,Semeru - 20260305/1200Z,"Liswanto, A.P., Semeru Volcano Observatory - 2 hours ago",Eruption at 1200 UTC (1900 local). Ash-cloud is not observed. Ash-cloud is not observed..,https://magma.esdm.go.id/v1/vona/20397?signature=eefd1afd452ecbcf6106748b909b268f62b5ca04b98efdbf0fed9a724cb841c4,1,Semeru,263300,20260305/1200Z,ORANGE,orange,2026SMR427,S 08 deg 06 min 29 sec E 112 deg 55 min 12 sec,-8.108055555555556,112.92,"East java, Indonesia",11763,3676,Eruption at 1200 UTC (1900 local).,Ash-cloud is not observed.,Ash-cloud is not observed.,Eruption recorded on seismogram with maximum amplitude 22 mm and maximum duration 110 second.
Semeru,SMR,2026-03-05 09:45:00 UTC,Orange,Semeru - 20260305/0945Z,"Yadi Yuliandi, A.Md., Semeru Volcano Observatory - 4 hours ago",Eruption at 0945 UTC (1645 local). Ash-cloud is not observed. Ash-cloud is not observed..,https://magma.esdm.go.id/v1/vona/20396?signature=a2939af5e50ac21ed48fc5dab0c1a21d00be0778832ec335159d0e5e251723a6,1,Semeru,263300,20260305/0945Z,ORANGE,orange,2026SMR426,S 08 deg 06 min 29 sec E 112 deg 55 min 12 sec,-8.108055555555556,112.92,"East java, Indonesia",11763,3676,Eruption at 0945 UTC (1645 local).,Ash-cloud is not observed.,Ash-cloud is not observed.,Eruption recorded on seismogram with maximum amplitude 15 mm and maximum duration 99 second.
Semeru,SMR,2026-03-05 01:46:00 UTC,Orange,Semeru - 20260305/0146Z,"Sigit Rian Alfian, Semeru Volcano Observatory - 12 hours ago",Eruption at 0146 UTC (0846 local). Ash-cloud is not observed. Ash-cloud is not observed..,https://magma.esdm.go.id/v1/vona/20392?signature=58f4b865a50cee87f9389b31541d7808b21826a31c0a34ef8570db304d3ed0cd,1,Semeru,263300,20260305/0146Z,ORANGE,orange,2026SMR425,S 08 deg 06 min 29 sec E 112 deg 55 min 12 sec,-8.108055555555556,112.92,"East java, Indonesia",11763,3676,Eruption at 0146 UTC (0846 local).,Ash-cloud is not observed.,Ash-cloud is not observed.,Eruption recorded on seismogram with maximum amplitude 22 mm and maximum duration 109 second.
Semeru,SMR,2026-03-04 08:42:00 UTC,Orange,Semeru - 20260304/0842Z,"Sigit Rian Alfian, Semeru Volcano Observatory - 1 day ago",Eruption at 0842 UTC (1542 local). Ash-cloud is not observed. Ash-cloud is not observed..,https://magma.esdm.go.id/v1/vona/20388?signature=34be4a82e3f224d006aa4519cc1be73a423b6d66aabd8b2efe7dd5d14e8c584c,1,Semeru,263300,20260304/0842Z,ORANGE,orange,2026SMR424,S 08 deg 06 min 29 sec E 112 deg 55 min 12 sec,-8.108055555555556,112.92,"East java, Indonesia",11763,3676,Eruption at 0842 UTC (1542 local).,Ash-cloud is not observed.,Ash-cloud is not observed.,Eruption recorded on seismogram with maximum amplitude 21 mm and maximum duration 105 second.
Semeru,SMR,2026-03-04 01:40:00 UTC,Orange,Semeru - 20260304/0140Z,"Yadi Yuliandi, A.Md., Semeru Volcano Observatory - 1 day ago",Eruption at 0140 UTC (0840 local). Ash-cloud is not observed. Ash-cloud is not observed..,https://magma.esdm.go.id/v1/vona/20387?signature=0d2e5d27f8c6c3edc54654a0b8c843576bfb5f56eca5a0324201e3557d8e3f85,1,Semeru,263300,20260304/0140Z,ORANGE,orange,2026SMR423,S 08 deg 06 min 29 sec E 112 deg 55 min 12 sec,-8.108055555555556,112.92,"East java, Indonesia",11763,3676,Eruption at 0140 UTC (0840 local).,Ash-cloud is not observed.,Ash-cloud is not observed.,Eruption recorded on seismogram with maximum amplitude 22 mm and maximum duration 147 second.
Semeru,SMR,2026-03-03 10:31:00 UTC,Orange,Semeru - 20260303/1031Z,"Yadi Yuliandi, A.Md., Semeru Volcano Observatory - 2 days ago",Eruption at 1031 UTC (1731 local). Ash-cloud is not observed. Ash-cloud is not observed..,https://magma.esdm.go.id/v1/vona/20385?signature=cd3ef311fb417c630d07898180328910df64fcb98106725f3a42be9ab0667cfa,1,Semeru,263300,20260303/1031Z,ORANGE,orange,2026SMR422,S 08 deg 06 min 29 sec E 112 deg 55 min 12 sec,-8.108055555555556,112.92,"East java, Indonesia",11763,3676,Eruption at 1031 UTC (1731 local).,Ash-cloud is not observed.,Ash-cloud is not observed.,Eruption recorded on seismogram with maximum amplitude 22 mm and maximum duration 99 second.
Semeru,SMR,2026-03-03 04:56:00 UTC,Orange,Semeru - 20260303/0456Z,"Yadi Yuliandi, A.Md., Semeru Volcano Observatory - 2 days ago",Eruption at 0456 UTC (1156 local). Ash-cloud is not observed. Ash-cloud is not observed..,https://magma.esdm.go.id/v1/vona/20382?signature=468d5ef23524affb72c6580bcc612cff6289430c14302489c9b66a07d39820b9,1,Semeru,263300,20260303/0456Z,ORANGE,orange,2026SMR421,S 08 deg 06 min 29 sec E 112 deg 55 min 12 sec,-8.108055555555556,112.92,"East java, Indonesia",11763,3676,Eruption at 0456 UTC (1156 local).,Ash-cloud is not observed.,Ash-cloud is not observed.,Eruption recorded on seismogram with maximum amplitude 22 mm and maximum duration 104 second.
Semeru,SMR,2026-03-02 22:00:00 UTC,Orange,Semeru - 20260302/2200Z,"Sigit Rian Alfian, Semeru Volcano Observatory - 2 days ago",Eruption at 2200 UTC (0500 local). Ash-cloud is not observed. Ash-cloud is not observed..,https://magma.esdm.go.id/v1/vona/20378?signature=78b11fa2558f23e8d71f7aaea92cee9ef262b48b4d8b5486a7f1f1344f9ae6b0,1,Semeru,263300,20260302/2200Z,ORANGE,orange,2026SMR420,S 08 deg 06 min 29 sec E 112 deg 55 min 12 sec,-8.108055555555556,112.92,"East java, Indonesia",11763,3676,Eruption at 2200 UTC (0500 local).,Ash-cloud is not observed.,Ash-cloud is not observed.,Eruption recorded on seismogram with maximum amplitude 22 mm and maximum duration 124 second.
Semeru,SMR,2026-03-02 14:07:00 UTC,Orange,Semeru - 20260302/1407Z,"Mukdas Sofian, A.Md., Semeru Volcano Observatory - 3 days ago",Eruption with volcanic ash cloud at 1407 UTC (2107 local). Best estimate of ash-cloud top is around 13043 FT (4076 M) above sea level or 1280 FT (400 M) above summit. May be higher than what can be observed clearly. Source of height data: ground observer. Ash cloud moving to northeast. Volcanic ash is observed to be white to gray. The intensity of volcanic ash is observed to be thick..,https://magma.esdm.go.id/v1/vona/20376?signature=0e7be4d832980b562ef69f03918f278a63302381eda2af8362e03c82f998d1b2,1,Semeru,263300,20260302/1407Z,ORANGE,orange,2026SMR419,S 08 deg 06 min 29 sec E 112 deg 55 min 12 sec,-8.108055555555556,112.92,"East java, Indonesia",11763,3676,Eruption with volcanic ash cloud at 1407 UTC (2107 local).,Best estimate of ash-cloud top is around 13043 FT (4076 M) above sea level or 1280 FT (400 M) above summit. May be higher than what can be observed clearly. Source of height data: ground observer.,Ash cloud moving to northeast. Volcanic ash is observed to be white to gray. The intensity of volcanic ash is observed to be thick.,Eruption recorded on seismogram with maximum amplitude 22 mm and maximum duration 110 second.
