id,timestamp,volcano_filter,alert_level,latitude,longitude,elevation,tinggi_letusan_m,kec_angin_km_jam,arah_angin_deg,amplitudo,duration,jarak_km,luas_km2,sudut_deg,radius_km
111,2026-01-30 23:26:00 UTC,Semeru,Orange,-8.10805,112.92,3676,500,1.1,45,22,134,0.216830107,766.7630758,180,0.216830107
112,2026-01-30 22:55:00 UTC,Semeru,Orange,-8.10805,112.92,3676,700,1.3,0,22,115,0.216830107,766.7630758,180,0.216830107
113,2026-01-30 22:22:00 UTC,Semeru,Orange,-8.10805,112.92,3676,800,1.3,0,22,127,0.216830107,766.7630758,180,0.216830107
115,2026-01-29 22:16:00 UTC,Semeru,Orange,-8.10805,112.92,3676,900,3.1,90,23,122,0.216830107,766.7630758,180,0.216830107
116,2026-01-29 21:44:00 UTC,Semeru,Orange,-8.10805,112.92,3676,800,3.3,67.5,22,154,0.216830107,766.7630758,180,0.216830107
118,2026-01-28 23:06:00 UTC,Semeru,Orange,-8.10805,112.92,3676,500,11.1,112.5,22,94,0.216830107,766.7630758,180,0.216830107
119,2026-01-28 21:47:00 UTC,Semeru,Orange,-8.10805,112.92,3676,500,9.7,135,22,126,0.216830107,766.7630758,180,0.216830107
121,2026-01-24 21:33:00 UTC,Semeru,Orange,-8.10805,112.92,3676,800,9.8,45,22,156,0.216830107,766.7630758,180,0.216830107
122,2026-01-24 16:45:00 UTC,Semeru,Orange,-8.10805,112.92,3676,600,10.1,45,12,96,0.216830107,766.7630758,180,0.216830107
124,2026-01-18 23:44:00 UTC,Semeru,Orange,-8.10805,112.92,3676,700,0.8,22.5,22,136,0.216830107,766.7630758,180,0.216830107
125,2026-01-18 22:19:00 UTC,Semeru,Orange,-8.10805,112.92,3676,1000,0.9,45,22,118,0.216830107,766.7630758,180,0.216830107
126,2026-01-18 17:50:00 UTC,Semeru,Orange,-8.10805,112.92,3676,300,4.3,0,22,88,0.216830107,766.7630758,180,0.216830107
128,2026-01-18 17:22:00 UTC,Semeru,Orange,-8.10805,112.92,3676,400,4.3,0,22,92,0.216830107,766.7630758,180,0.216830107
129,2026-01-18 16:49:00 UTC,Semeru,Orange,-8.10805,112.92,3676,500,4.5,45,22,95,0.216830107,766.7630758,180,0.216830107
131,2026-01-17 22:07:00 UTC,Semeru,Orange,-8.10805,112.92,3676,600,2.3,45,22,155,0.216830107,766.7630758,180,0.216830107
133,2026-01-15 23:26:00 UTC,Semeru,Orange,-8.10805,112.92,3676,500,2.5,45,22,118,0.216830107,766.7630758,180,0.216830107
134,2026-01-15 22:38:00 UTC,Semeru,Orange,-8.10805,112.92,3676,800,1.9,45,22,99,0.216830107,766.7630758,180,0.216830107
135,2026-01-15 22:16:00 UTC,Semeru,Orange,-8.10805,112.92,3676,500,1.9,45,22,92,0.216830107,766.7630758,180,0.216830107
136,2026-01-15 22:08:00 UTC,Semeru,Orange,-8.10805,112.92,3676,500,1.9,0,22,96,0.216830107,766.7630758,180,0.216830107
139,2026-01-15 17:29:00 UTC,Semeru,Orange,-8.10805,112.92,3676,600,3.8,0,22,110,0.216830107,766.7630758,180,0.216830107
141,2026-01-11 15:26:00 UTC,Semeru,Orange,-8.10805,112.92,3676,2000,6.9,112.5,27,696,0.216830107,766.7630758,180,0.216830107
145,2026-01-09 22:01:00 UTC,Semeru,Orange,-8.10805,112.92,3676,800,8.5,67.5,23,126,0.216830107,766.7630758,180,0.216830107
148,2026-01-08 23:49:00 UTC,Semeru,Orange,-8.10805,112.92,3676,600,7.6,0,22,152,0.216830107,766.7630758,180,0.216830107
149,2026-01-08 22:41:00 UTC,Semeru,Orange,-8.10805,112.92,3676,900,8.4,0,22,124,0.216830107,766.7630758,180,0.216830107
150,2026-01-08 22:31:00 UTC,Semeru,Orange,-8.10805,112.92,3676,500,8.4,0,22,119,0.216830107,766.7630758,180,0.216830107
152,2026-01-08 17:45:00 UTC,Semeru,Orange,-8.10805,112.92,3676,500,8.9,0,22,110,0.216830107,766.7630758,180,0.216830107
159,2026-01-07 22:25:00 UTC,Semeru,Orange,-8.10805,112.92,3676,700,8.3,0,22,115,0.216830107,766.7630758,180,0.216830107
160,2026-01-07 22:19:00 UTC,Semeru,Orange,-8.10805,112.92,3676,600,8.3,0,22,110,0.216830107,766.7630758,180,0.216830107
167,2026-01-07 12:23:00 UTC,Semeru,Orange,-8.10805,112.92,3676,400,6.9,0,22,110,0.216830107,766.7630758,180,0.216830107
175,2026-01-06 13:29:00 UTC,Semeru,Orange,-8.10805,112.92,3676,800,4.5,0,22,128,0.216830107,766.7630758,180,0.216830107
176,2026-01-06 13:00:00 UTC,Semeru,Orange,-8.10805,112.92,3676,700,4.5,0,22,118,0.216830107,766.7630758,180,0.216830107
177,2026-01-06 11:54:00 UTC,Semeru,Orange,-8.10805,112.92,3676,800,6.2,0,22,122,0.216830107,766.7630758,180,0.216830107
178,2026-01-06 11:28:00 UTC,Semeru,Orange,-8.10805,112.92,3676,700,6.2,0,22,121,0.216830107,766.7630758,180,0.216830107
311,2025-12-07 15:41:00 UTC,Semeru,Orange,-8.10805,112.92,3676,1000,4.2,180,22,110,0.216830107,766.7630758,180,0.216830107
314,2025-12-07 13:39:00 UTC,Semeru,Orange,-8.10805,112.92,3676,700,5.5,225,22,122,0.216830107,766.7630758,180,0.216830107
317,2025-12-07 00:12:00 UTC,Semeru,Orange,-8.10805,112.92,3676,1000,4.3,225,22,156,0.216830107,766.7630758,180,0.216830107
318,2025-12-06 22:10:00 UTC,Semeru,Orange,-8.10805,112.92,3676,1000,1.4,202.5,22,153,0.216830107,766.7630758,180,0.216830107
319,2025-12-06 21:14:00 UTC,Semeru,Orange,-8.10805,112.92,3676,900,1.8,202.5,22,124,0.216830107,766.7630758,180,0.216830107
351,2025-12-02 22:55:00 UTC,Semeru,Orange,-8.10805,112.92,3676,1100,0.7,225,22,99,0.216830107,766.7630758,180,0.216830107
352,2025-12-02 22:49:00 UTC,Semeru,Orange,-8.10805,112.92,3676,700,0.7,0,22,101,0.216830107,766.7630758,180,0.216830107
353,2025-12-02 22:35:00 UTC,Semeru,Orange,-8.10805,112.92,3676,1000,0.7,0,22,123,0.216830107,766.7630758,180,0.216830107
354,2025-12-02 19:20:00 UTC,Semeru,Orange,-8.10805,112.92,3676,800,1,225,22,119,0.216830107,766.7630758,180,0.216830107
