timestamp,alert_level,tinggi_letusan_m,kec_angin_km_jam,arah_angin_deg,amplitudo,duration,jarak_km,luas_km2,sudut_deg,radius_km
2024-06-11 07:34:00 UTC,Yellow,1000,4.7,270,50,30,,,,
2024-01-24 08:56:00 UTC,Orange,1000,8,135,51,168,,,,
2023-03-15 03:36:00 UTC,Orange,1200,7.1,90,65,133,,,,
2023-03-13 22:50:00 UTC,Orange,1500,3.2,135,70,160,,,,
2023-03-12 09:19:00 UTC,Orange,2500,8.3,315,70,145,,,,
2023-03-12 00:08:00 UTC,Orange,2000,4.9,315,70,169,,,,
2023-03-11 06:06:00 UTC,Orange,3000,9.6,315,70,202,,,,
2023-03-11 05:12:00 UTC,Orange,3000,8.6,315,75,202,,,,
2022-03-09 17:00:00 UTC,Red,3000,1.8,135,38,165,,,,
2021-12-01 14:41:00 UTC,Orange,1000,4.8,90,41,702,,,,
2021-08-15 23:09:00 UTC,Orange,600,10.2,270,66,289,,,,
2021-08-07 23:45:00 UTC,Orange,1000,4.3,270,20,222,,,,
2021-06-29 04:50:00 UTC,Orange,500,4.9,270,60,152,,,,
2021-06-24 22:56:00 UTC,Orange,1000,3.1,135,75,245,,,,
2021-01-09 02:29:00 UTC,Orange,9210,8.4,315,45,120,,,,
2020-06-21 02:48:00 UTC,Red,27770,7.1,270,75,428,,,,
2020-04-10 02:16:00 UTC,Orange,18170,9.8,315,75,103,,,,
2020-04-02 08:21:00 UTC,Orange,18170,0.7,90,78,345,,,,
2020-03-28 17:20:00 UTC,Orange,13370,1,270,40,150,,,,
2020-03-28 12:35:00 UTC,Orange,18170,3.5,270,75,243,,,,
2020-03-27 22:41:00 UTC,Orange,14970,3.1,270,50,180,,,,
2020-03-27 14:49:00 UTC,Orange,11770,1.8,270,40,180,,,,
2020-03-27 04:15:00 UTC,Red,24570,4.7,225,75,420,,,,
2020-03-02 22:50:00 UTC,Red,27770,3.4,315,75,450,,,,
2020-02-12 22:43:00 UTC,Orange,14970,3.6,315,75,105,,,,
2019-11-17 03:54:00 UTC,Orange,11770,9.1,270,70,155,,,,
2019-11-08 23:43:00 UTC,Orange,13370,2.1,270,65,160,,,,
2018-05-23 20:16:00 UTC,Red,27770,1.8,270,75,433,,,,
2018-05-22 21:28:00 UTC,Orange,14970,5.4,225,55,145,,,,
2018-05-22 10:22:00 UTC,Green,8650,2.7,135,14,14,,,,
2018-05-21 03:17:00 UTC,Yellow,12410,2.6,270,50,162,,,,
2018-05-11 01:40:00 UTC,Red,16672,6.4,135,76,230,,,,
2016-02-16 23:45:00 UTC,Red,23712,4,45,75,433,,,,
2019-10-14 09:44:00 UTC,Orange,18170,13.3,225,75,270,,,,
2019-09-22 05:08:00 UTC,Orange,11130,7.6,225,52,152,,,,
2018-06-03 13:39:00 UTC,Green,11130,2.6,45,52,152,,,,
2018-06-01 14:07:00 UTC,Orange,11770,1.5,315,50,162,,,,
2018-06-01 13:32:00 UTC,Orange,16570,0.4,270,76,230,,,,
2018-06-01 01:31:00 UTC,Red,27770,4.7,315,75,433,,,,
2018-05-25 21:34:00 UTC,Green,8650,5.1,135,29,96,,,,
2018-05-24 03:57:00 UTC,Orange,13370,7.9,135,52,163,,,,
2021-01-07 02:57:00 UTC,Orange,9210,6.3,225,28,154,,,,
