timestamp,alert_level,latitude,longitude,elevation,tinggi_letusan_m,kec_angin_km_jam,arah_angin_deg,amplitudo,duration,volcano_filter_Bromo,volcano_filter_Merapi,volcano_filter_Raung,volcano_filter_Semeru,volcano_filter_Slamet
9,1,-8.10805,112.92,3676,700.0,10.1,225.0,21.0,119.0,0,0,0,1,0
12,1,-8.10805,112.92,3676,800.0,12.325,67.5,22.0,131.0,0,0,0,1,0
11,1,-8.10805,112.92,3676,600.0,0.7000000000000002,135.0,22.0,150.0,0,0,0,1,0
11,1,-8.10805,112.92,3676,400.0,5.8,45.0,22.0,112.0,0,0,0,1,0
5,1,-8.10805,112.92,3676,1000.0,12.325,225.0,22.0,120.0,0,0,0,1,0
10,1,-8.10805,112.92,3676,700.0,2.7,270.0,22.0,174.5,0,0,0,1,0
10,1,-8.10805,112.92,3676,200.0,9.4,180.0,20.0,88.0,0,0,0,1,0
3,1,-8.10805,112.92,3676,400.0,0.7999999999999994,45.0,22.0,119.0,0,0,0,1,0
1,1,-8.10805,112.92,3676,500.0,9.8,135.0,22.0,145.0,0,0,0,1,0
1,1,-8.10805,112.92,3676,700.0,4.4,0.0,22.0,118.0,0,0,0,1,0
4,1,-8.10805,112.92,3676,500.0,1.0999999999999996,225.0,22.0,174.5,0,0,0,1,0
3,1,-8.10805,112.92,3676,600.0,1.6,225.0,22.0,120.0,0,0,0,1,0
5,1,-8.10805,112.92,3676,900.0,2.4,225.0,22.0,101.0,0,0,0,1,0
9,1,-8.10805,112.92,3676,300.0,7.6,225.0,22.0,110.0,0,0,0,1,0
5,1,-8.10805,112.92,3676,1000.0,1.6,225.0,22.0,116.0,0,0,0,1,0
3,1,-7.941944444,112.95,2329,1250.0,2.6000000000000005,112.5,9.0,124.0,1,0,0,0,0
5,1,-8.10805,112.92,3676,800.0,2.2,225.0,22.0,97.0,0,0,0,1,0
12,1,-8.10805,112.92,3676,500.0,0.6000000000000001,225.0,20.0,84.0,0,0,0,1,0
6,1,-8.10805,112.92,3676,600.0,1.9,157.5,22.0,174.5,0,0,0,1,0
12,1,-8.10805,112.92,3676,900.0,11.5,45.0,22.0,135.0,0,0,0,1,0
12,1,-8.10805,112.92,3676,600.0,4.9,0.0,22.0,105.0,0,0,0,1,0
12,1,-8.10805,112.92,3676,700.0,7.0,22.5,20.0,116.0,0,0,0,1,0
7,1,-8.125,114.0419444,3332,1250.0,3.7,0.0,10.000000000000002,66.5,0,0,1,0,0
1,1,-8.10805,112.92,3676,800.0,2.1,45.0,22.0,125.0,0,0,0,1,0
10,1,-8.10805,112.92,3676,500.0,8.6,225.0,22.0,110.0,0,0,0,1,0
1,1,-8.10805,112.92,3676,700.0,7.2,0.0,22.0,118.0,0,0,0,1,0
3,1,-7.941944444,112.95,2329,1250.0,9.6,0.0,9.0,124.0,1,0,0,0,0
12,1,-8.10805,112.92,3676,800.0,9.2,90.0,21.0,125.0,0,0,0,1,0
12,1,-8.10805,112.92,3676,1000.0,6.4,180.0,22.0,123.0,0,0,0,1,0
1,1,-8.10805,112.92,3676,900.0,8.4,0.0,22.0,124.0,0,0,0,1,0
9,1,-8.10805,112.92,3676,700.0,3.1,270.0,22.0,115.0,0,0,0,1,0
5,1,-8.10805,112.92,3676,400.0,4.0,270.0,22.0,145.0,0,0,0,1,0
2,1,-8.10805,112.92,3676,700.0,0.6000000000000001,157.5,22.0,173.0,0,0,0,1,0
9,1,-8.10805,112.92,3676,400.0,8.2,270.0,21.0,88.0,0,0,0,1,0
1,1,-8.10805,112.92,3676,1000.0,6.4,112.5,21.0,174.5,0,0,0,1,0
12,1,-8.10805,112.92,3676,1000.0,6.0,225.0,22.0,174.5,0,0,0,1,0
1,1,-8.10805,112.92,3676,900.0,2.7,0.0,22.0,110.0,0,0,0,1,0
9,1,-8.10805,112.92,3676,400.0,4.6,270.0,22.0,83.0,0,0,0,1,0
12,1,-8.10805,112.92,3676,500.0,3.5,225.0,22.0,126.0,0,0,0,1,0
12,1,-8.10805,112.92,3676,700.0,5.6,0.0,21.0,125.0,0,0,0,1,0
2,1,-8.10805,112.92,3676,400.0,4.2,225.0,22.0,110.0,0,0,0,1,0
3,1,-8.10805,112.92,3676,300.0,2.6000000000000005,45.0,22.0,124.0,0,0,0,1,0
2,1,-8.125,114.0419444,3332,1250.0,10.5,90.0,9.0,124.0,0,0,1,0,0
3,1,-8.10805,112.92,3676,600.0,5.0,22.5,22.0,125.0,0,0,0,1,0
4,1,-8.10805,112.92,3676,700.0,0.3999999999999999,225.0,22.0,125.0,0,0,0,1,0
9,1,-8.10805,112.92,3676,600.0,5.8,225.0,20.0,117.0,0,0,0,1,0
12,1,-8.10805,112.92,3676,600.0,5.6,270.0,22.0,125.0,0,0,0,1,0
3,1,-8.10805,112.92,3676,1000.0,1.2000000000000002,180.0,22.0,125.0,0,0,0,1,0
10,1,-8.10805,112.92,3676,300.0,4.7,225.0,22.0,146.0,0,0,0,1,0
7,1,-8.10805,112.92,3676,500.0,1.5,0.0,22.0,146.0,0,0,0,1,0
12,1,-8.10805,112.92,3676,500.0,6.3,0.0,22.0,88.0,0,0,0,1,0
9,1,-8.10805,112.92,3676,800.0,3.3,0.0,22.0,99.0,0,0,0,1,0
12,1,-8.10805,112.92,3676,600.0,7.699999999999999,180.0,22.0,129.0,0,0,0,1,0
10,1,-8.10805,112.92,3676,700.0,0.2999999999999998,180.0,22.0,110.0,0,0,0,1,0
1,1,-8.10805,112.92,3676,700.0,3.4,22.5,22.0,174.5,0,0,0,1,0
5,1,-8.10805,112.92,3676,1000.0,3.0,225.0,22.0,174.5,0,0,0,1,0
12,1,-8.10805,112.92,3676,400.0,1.7999999999999998,225.0,22.0,78.0,0,0,0,1,0
4,1,-8.10805,112.92,3676,700.0,1.0999999999999996,180.0,22.0,170.0,0,0,0,1,0
9,1,-8.10805,112.92,3676,700.0,6.9,225.0,22.0,167.0,0,0,0,1,0
3,1,-8.10805,112.92,3676,600.0,0.9999999999999996,225.0,22.0,119.0,0,0,0,1,0
9,1,-8.10805,112.92,3676,400.0,1.9,247.5,21.0,106.0,0,0,0,1,0
12,1,-8.10805,112.92,3676,400.0,3.6,225.0,20.0,78.0,0,0,0,1,0
10,1,-8.10805,112.92,3676,900.0,4.2,270.0,22.0,138.0,0,0,0,1,0
1,1,-8.10805,112.92,3676,500.0,4.2,225.0,22.0,116.0,0,0,0,1,0
12,1,-8.10805,112.92,3676,1000.0,3.2,45.0,22.0,174.5,0,0,0,1,0
4,1,-8.10805,112.92,3676,500.0,2.9,0.0,22.0,107.0,0,0,0,1,0
5,1,-8.10805,112.92,3676,1000.0,1.7000000000000002,270.0,22.0,167.0,0,0,0,1,0
4,1,-8.10805,112.92,3676,900.0,7.5,67.5,21.0,115.0,0,0,0,1,0
2,1,-8.10805,112.92,3676,1250.0,5.4,0.0,22.0,137.0,0,0,0,1,0
4,1,-8.10805,112.92,3676,900.0,5.5,0.0,22.0,152.0,0,0,0,1,0
1,1,-8.10805,112.92,3676,500.0,10.1,45.0,21.0,131.0,0,0,0,1,0
12,1,-8.10805,112.92,3676,900.0,5.8,270.0,22.0,154.0,0,0,0,1,0
1,1,-8.10805,112.92,3676,600.0,4.4,225.0,21.0,101.0,0,0,0,1,0
3,1,-8.10805,112.92,3676,500.0,3.7,45.0,22.0,135.0,0,0,0,1,0
11,1,-8.10805,112.92,3676,1000.0,4.3,22.5,22.0,157.0,0,0,0,1,0
4,1,-8.10805,112.92,3676,600.0,7.3,225.0,22.0,91.0,0,0,0,1,0
3,1,-8.10805,112.92,3676,700.0,8.3,270.0,22.0,126.0,0,0,0,1,0
9,1,-8.10805,112.92,3676,900.0,2.5,315.0,22.0,126.0,0,0,0,1,0
4,1,-8.10805,112.92,3676,700.0,1.4,225.0,22.0,116.0,0,0,0,1,0
3,1,-8.10805,112.92,3676,700.0,1.0999999999999996,0.0,22.0,119.0,0,0,0,1,0
2,1,-8.10805,112.92,3676,900.0,2.7,45.0,22.0,106.0,0,0,0,1,0
12,1,-8.10805,112.92,3676,500.0,10.599999999999998,22.5,23.0,132.0,0,0,0,1,0
1,1,-8.10805,112.92,3676,500.0,6.2,45.0,22.0,111.0,0,0,0,1,0
12,1,-8.10805,112.92,3676,800.0,1.9,0.0,22.0,92.0,0,0,0,1,0
12,1,-8.10805,112.92,3676,400.0,1.0999999999999996,225.0,21.0,79.0,0,0,0,1,0
5,1,-8.10805,112.92,3676,400.0,0.9999999999999996,0.0,22.0,99.0,0,0,0,1,0
12,1,-8.10805,112.92,3676,900.0,2.5,45.0,22.0,126.0,0,0,0,1,0
6,1,-8.10805,112.92,3676,500.0,3.0,247.5,22.0,101.0,0,0,0,1,0
1,1,-8.10805,112.92,3676,700.0,6.0,225.0,22.0,110.0,0,0,0,1,0
7,1,-8.125,114.0419444,3332,500.0,0.6000000000000001,202.5,3.0,124.0,0,0,1,0,0
8,1,-8.10805,112.92,3676,500.0,2.3,202.5,22.0,128.0,0,0,0,1,0
3,1,-8.10805,112.92,3676,700.0,4.9,202.5,22.0,174.5,0,0,0,1,0
6,1,-8.125,114.0419444,3332,1250.0,2.2,90.0,6.0,124.0,0,0,1,0,0
12,1,-8.10805,112.92,3676,900.0,7.0,315.0,22.0,90.0,0,0,0,1,0
4,1,-8.10805,112.92,3676,500.0,0.5,180.0,22.0,145.0,0,0,0,1,0
1,1,-8.10805,112.92,3676,800.0,2.8,135.0,22.0,102.0,0,0,0,1,0
8,1,-8.10805,112.92,3676,700.0,7.2,22.5,22.0,167.0,0,0,0,1,0
2,1,-8.10805,112.92,3676,500.0,4.5,45.0,15.0,92.0,0,0,0,1,0
10,1,-8.10805,112.92,3676,600.0,4.9,225.0,22.0,137.0,0,0,0,1,0
1,1,-8.10805,112.92,3676,400.0,2.5,0.0,20.0,110.0,0,0,0,1,0
6,1,-8.10805,112.92,3676,700.0,8.1,225.0,22.0,107.0,0,0,0,1,0
3,1,-8.10805,112.92,3676,1200.0,5.6,22.5,22.0,125.0,0,0,0,1,0
1,1,-8.10805,112.92,3676,500.0,2.4,22.5,22.0,141.0,0,0,0,1,0
12,1,-8.10805,112.92,3676,500.0,1.7999999999999998,180.0,22.0,99.0,0,0,0,1,0
10,1,-8.10805,112.92,3676,400.0,2.3,180.0,22.0,85.0,0,0,0,1,0
12,1,-8.10805,112.92,3676,500.0,0.9999999999999996,225.0,22.0,89.0,0,0,0,1,0
11,1,-8.10805,112.92,3676,700.0,4.5,45.0,22.0,119.0,0,0,0,1,0
2,1,-8.10805,112.92,3676,400.0,2.2,0.0,23.0,133.0,0,0,0,1,0
12,1,-8.10805,112.92,3676,800.0,0.7999999999999994,22.5,22.0,108.0,0,0,0,1,0
12,1,-8.10805,112.92,3676,700.0,12.0,45.0,21.0,131.0,0,0,0,1,0
10,1,-8.10805,112.92,3676,200.0,3.7,225.0,22.0,110.0,0,0,0,1,0
1,1,-8.10805,112.92,3676,700.0,2.6000000000000005,270.0,22.0,154.0,0,0,0,1,0
3,1,-8.10805,112.92,3676,300.0,1.3000000000000005,0.0,20.0,66.5,0,0,0,1,0
12,1,-8.10805,112.92,3676,500.0,5.2,225.0,22.0,135.0,0,0,0,1,0
9,1,-8.10805,112.92,3676,700.0,11.1,225.0,22.0,125.0,0,0,0,1,0
2,1,-8.10805,112.92,3676,300.0,6.0,0.0,22.0,123.0,0,0,0,1,0
1,1,-8.10805,112.92,3676,600.0,8.4,45.0,22.0,115.0,0,0,0,1,0
1,1,-8.10805,112.92,3676,500.0,9.7,135.0,22.0,126.0,0,0,0,1,0
1,1,-8.125,114.0419444,3332,1250.0,11.3,292.0,9.0,124.0,0,0,1,0,0
8,1,-8.10805,112.92,3676,1000.0,5.1,157.5,22.0,138.0,0,0,0,1,0
