number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,276.5112666909652,2026-03-14 17:51:37.508345,2026-03-14 17:51:38.806405,0 days 00:00:01.298060,0.662397808134481,0.2904180608409973,0.044635901521768134,8,12,1998,0.6245760287469893,0.006763888939818983,0.6624074561769746,COMPLETE
1,281.8729357647273,2026-03-14 17:51:38.809414,2026-03-14 17:51:40.878749,0 days 00:00:02.069335,0.6727299868828402,0.9170225492671691,0.005242693862597309,10,17,3066,5.472429642032198e-06,0.0012291273711520685,0.6849356442713105,COMPLETE
2,282.4348535553088,2026-03-14 17:51:40.883256,2026-03-14 17:51:41.916597,0 days 00:00:01.033341,0.7465447373174767,2.28034992108518,0.009776854331372627,7,3,2182,0.1165691561324743,8.642313649427712e-07,0.7168578594140873,COMPLETE
3,328.6798836832584,2026-03-14 17:51:41.918606,2026-03-14 17:51:42.797403,0 days 00:00:00.878797,0.6260206371941118,4.7444276862666666,0.019560708142748476,3,13,2446,4.905556676028774,0.6928219378948713,0.6682096494749166,COMPLETE
4,269.1925908277759,2026-03-14 17:51:42.800400,2026-03-14 17:51:44.215270,0 days 00:00:01.414870,0.798070764044508,0.17194260557609198,0.006260977143530196,8,9,1775,1.527156759251193,3.235186184144167e-06,0.6488152939379115,COMPLETE
5,316.5430724505905,2026-03-14 17:51:44.218821,2026-03-14 17:51:45.392318,0 days 00:00:01.173497,0.9878338511058234,3.8756641168055728,0.010248990260475094,7,11,2920,2.854239907497756,4.774233225501719,0.6739417822102108,COMPLETE
6,281.1024713679012,2026-03-14 17:51:45.398370,2026-03-14 17:51:46.823128,0 days 00:00:01.424758,0.7301321323053057,1.9433864484474102,0.0417680537765588,3,4,2713,2.7678419414850017e-06,1.0911896618348114,0.6180909155642152,COMPLETE
7,305.4916938706562,2026-03-14 17:51:46.826639,2026-03-14 17:51:47.584830,0 days 00:00:00.758191,0.6298202574719083,4.9344346830025865,0.009547826400522689,7,3,1941,0.08916674715636537,8.45935858243602e-07,0.9208787923016158,COMPLETE
8,287.3052665541283,2026-03-14 17:51:47.587343,2026-03-14 17:51:47.924906,0 days 00:00:00.337563,0.6296178606936361,1.7923286427213632,0.03269124292259021,8,15,817,1.1036250149900698e-07,2.3507921846521764,0.9085081386743783,COMPLETE
9,302.4824995307908,2026-03-14 17:51:47.926410,2026-03-14 17:51:48.946287,0 days 00:00:01.019877,0.8918424713352255,3.1877873567760657,0.010711937478224529,3,7,2795,0.9658611176861268,0.0003801879910537945,0.7300733288106989,COMPLETE
