timestamp,alert_level,latitude,longitude,elevation,tinggi_letusan_m,kec_angin_km_jam,arah_angin_deg,amplitudo,duration,jarak_km,luas_km2,sudut_deg,radius_km,volcano_filter_Bromo,volcano_filter_Merapi,volcano_filter_Raung,volcano_filter_Semeru,volcano_filter_Slamet
6,3,-7.54194,110.44194,2968,1000,4.7,270,50,30,32.51150548,614.3906504,303.2573347,18.30414918,0,1,0,0,0
1,1,-7.54194,110.44194,2968,1000,8,135,51,168,27.76175557,460.7929878,37.9018734,15.8928192,0,1,0,0,0
3,1,-7.54194,110.44194,2968,1200,7.1,90,65,133,44.625714,614.2141502,265.6355056,23.93443662,0,1,0,0,0
3,1,-7.54194,110.44194,2968,1500,3.2,135,70,160,22.99875887,184.2855303,288.10828,11.7706586,0,1,0,0,0
3,1,-7.54194,110.44194,2968,2500,8.3,315,70,145,39.1595948,307.1070751,270.4626629,20.8096939,0,1,0,0,0
3,1,-7.54194,110.44194,2968,2000,4.9,315,70,169,50.10174251,368.5284901,269.2626057,25.2353663,0,1,0,0,0
3,1,-7.54194,110.44194,2968,3000,9.6,315,70,202,50.99244715,368.5070996,265.9448965,26.40704014,0,1,0,0,0
3,1,-7.54194,110.44194,2968,3000,8.6,315,75,202,50.99244715,368.5070996,265.9448965,26.40704014,0,1,0,0,0
3,2,-7.54194,110.44194,2968,3000,1.8,135,38,165,39.22523358,337.8568056,278.4283661,21.97425804,0,1,0,0,0
12,1,-7.54194,110.44194,2968,1000,4.8,90,41,702,46.08594776,1351.965439,341.6601352,25.83879104,0,1,0,0,0
8,1,-7.54194,110.44194,2968,600,10.2,270,66,289,35.71918039,645.1101829,305.7098558,19.84163082,0,1,0,0,0
8,1,-7.54194,110.44194,2968,1000,4.3,270,20,222,35.71918039,368.6343902,305.4721581,19.96378048,0,1,0,0,0
6,1,-7.54194,110.44194,2968,500,4.9,270,60,152,31.62230968,737.2687805,311.3014856,18.18237767,0,1,0,0,0
6,1,-7.54194,110.44194,2968,1000,3.1,135,75,245,29.99928826,245.7281605,295.3050823,15.31241657,0,1,0,0,0
1,1,-7.54194,110.44194,2968,9210,8.4,315,45,120,79.20318694,716.060316,243.8925833,39.38406958,0,1,0,0,0
6,2,-7.54194,110.44194,2968,27770,7.1,270,75,428,150.122971,1657.697774,254.8051704,86.41514922,0,1,0,0,0
4,1,-7.54194,110.44194,2968,18170,9.8,315,75,103,35.16467824,307.1602006,295.5337829,17.78896153,0,1,0,0,0
4,1,-7.54194,110.44194,2968,18170,0.7,90,78,345,104.935624,3071.248421,272.4287938,52.57986345,0,1,0,0,0
3,1,-7.54194,110.44194,2968,13370,1,270,40,150,54.45898171,552.6961621,253.7484088,28.84145596,0,1,0,0,0
3,1,-7.54194,110.44194,2968,18170,3.5,270,75,243,101.5387718,767.4981138,249.9105379,50.74618412,0,1,0,0,0
3,1,-7.54194,110.44194,2968,14970,3.1,270,50,180,69.89847605,675.5175314,258.6072616,38.63653257,0,1,0,0,0
3,1,-7.54194,110.44194,2968,11770,1.8,270,40,180,58.84573981,552.5659248,229.1179741,30.62105144,0,1,0,0,0
3,2,-7.54194,110.44194,2968,24570,4.7,225,75,420,63.15440049,522.2022466,286.2853028,33.25370275,0,1,0,0,0
3,2,-7.54194,110.44194,2968,27770,3.4,315,75,450,132.5937552,2180.079306,265.7701895,77.51040741,0,1,0,0,0
2,1,-7.54194,110.44194,2968,14970,3.6,315,75,105,189.7432873,7346.081782,287.7514107,119.0834023,0,1,0,0,0
11,1,-7.54194,110.44194,2968,11770,9.1,270,70,155,22.75501105,184.232054,193.702096,12.96702603,0,1,0,0,0
11,1,-7.54194,110.44194,2968,13370,2.1,270,65,160,109.5546145,3344.891557,232.3329396,60.92005917,0,1,0,0,0
5,2,-7.54194,110.44194,2968,27770,1.8,270,75,433,160.4044239,2825.385091,268.9134678,95.59952528,0,1,0,0,0
5,1,-7.54194,110.44194,2968,14970,5.4,225,55,145,79.11673692,1013.157299,248.6703934,40.2536146,0,1,0,0,0
5,0,-7.54194,110.44194,2968,8650,2.7,135,14,14,28.28006755,276.3963676,267.5268902,15.27539373,0,1,0,0,0
5,3,-7.54194,110.44194,2968,12410,2.6,270,50,162,78.61342851,1043.673638,233.1153606,36.07714301,0,1,0,0,0
5,2,-7.54194,110.44194,2968,16672,6.4,135,76,230,41.92890107,460.7666882,63.77942211,21.61493847,0,1,0,0,0
2,2,-7.54194,110.44194,2968,23712,4,45,75,433,58.81662276,583.2985665,236.6140095,31.26905474,0,1,0,0,0
