volcano_filter,alert_level,latitude,longitude,elevation,tinggi_letusan_m,kec_angin_km_jam,arah_angin_deg,amplitudo,duration,jarak_km,luas_km2,sudut_deg,radius_km,Bulan,Jam
Merapi,1,-7.54194,110.44194,2968,1000.0,4.7,270.0,50.0,30.0,32.51150547827304,614.3906504060418,303.25733468039374,18.304149177282483,6,7
Merapi,2,-7.54194,110.44194,2968,1000.0,8.0,135.0,51.0,168.0,27.76175556691916,460.7929878045314,37.90187339514722,15.89281919979614,1,8
Merapi,2,-7.54194,110.44194,2968,1200.0,7.1,90.0,65.0,133.0,44.62571400141726,614.2141501760491,265.6355055821134,23.9344366227144,3,3
Merapi,2,-7.54194,110.44194,2968,1500.0,3.2,135.0,70.0,160.0,22.99875886861905,184.2855303385668,288.1082800402276,11.77065860376459,3,22
Merapi,2,-7.54194,110.44194,2968,2500.0,8.3,315.0,70.0,145.0,39.159594802632,307.10707508802454,270.4626629499073,20.80969390471224,3,9
Merapi,2,-7.54194,110.44194,2968,2000.0,4.9,315.0,70.0,169.0,50.10174251055365,368.5284901057343,269.2626057196936,25.2353662965911,3,0
Merapi,2,-7.54194,110.44194,2968,3000.0,9.6,315.0,70.0,202.0,50.99244714964517,368.5070995740713,265.9448965135988,26.40704013726679,3,6
Merapi,2,-7.54194,110.44194,2968,3000.0,8.6,315.0,75.0,202.0,50.99244714964517,368.5070995740713,265.9448965135988,26.40704013726679,3,5
Merapi,3,-7.54194,110.44194,2968,3000.0,1.7999999999999998,135.0,38.0,165.0,39.225233581377935,337.85680562060963,278.4283661054898,21.97425803630388,3,17
Merapi,2,-7.54194,110.44194,2968,1000.0,4.8,90.0,41.0,702.0,46.08594776007136,1351.9654393241412,341.66013523069654,25.83879104055469,12,14
Merapi,2,-7.54194,110.44194,2968,600.0,10.2,270.0,66.0,289.0,35.71918039151468,645.1101829263439,305.7098558278996,19.84163082316228,8,23
Merapi,2,-7.54194,110.44194,2968,1000.0,4.3,270.0,20.0,222.0,35.71918039151468,368.6343902436251,305.4721580801679,19.96378048210888,8,23
Merapi,2,-7.54194,110.44194,2968,500.0,4.9,270.0,60.0,152.0,31.62230968060985,737.2687804872502,311.30148564290755,18.182377674353862,6,4
Merapi,2,-7.54194,110.44194,2968,1000.0,3.1,135.0,75.0,245.0,29.999288259249123,245.72816047244012,295.305082272164,15.312416567124355,6,22
Merapi,2,-7.54194,110.44194,2968,9210.0,8.4,315.0,45.0,120.0,79.20318693925358,716.0603159868158,243.89258332900604,39.38406957631331,1,2
Merapi,3,-7.54194,110.44194,2968,27770.0,7.1,270.0,75.0,428.0,150.1229709670936,1657.69777439062,254.80517044079684,86.41514921825538,6,2
Merapi,2,-7.54194,110.44194,2968,18170.0,9.8,315.0,75.0,103.0,35.164678237822216,307.16020059055023,295.53378287748507,17.78896153033987,4,2
Merapi,2,-7.54194,110.44194,2968,18170.0,0.7000000000000002,90.0,78.0,345.0,104.93562395322192,3071.248420623133,272.42879376217616,52.57986345453581,4,8
Merapi,2,-7.54194,110.44194,2968,13370.0,0.9999999999999996,270.0,40.0,150.0,54.45898171320039,552.6961620587717,253.74840880715533,28.84145596116452,3,17
Merapi,2,-7.54194,110.44194,2968,18170.0,3.5,270.0,75.0,243.0,101.53877175699488,767.4981137902456,249.9105378989612,50.74618411929755,3,12
Merapi,2,-7.54194,110.44194,2968,14970.0,3.1,270.0,50.0,180.0,69.89847605115686,675.5175314049734,258.6072616260659,38.636532570677744,3,22
Merapi,2,-7.54194,110.44194,2968,11770.0,1.7999999999999998,270.0,40.0,180.0,58.8457398135142,552.5659247968733,229.11797410594,30.621051437154872,3,14
Merapi,3,-7.54194,110.44194,2968,24570.0,4.7,225.0,75.0,420.0,63.15440049194429,522.2022466345037,286.2853028230859,33.25370275162348,3,4
Merapi,3,-7.54194,110.44194,2968,27770.0,3.4,315.0,75.0,450.0,132.59375518657248,2180.079305898488,265.77018951921127,77.51040740829413,3,22
Merapi,2,-7.54194,110.44194,2968,14970.0,3.6,315.0,75.0,105.0,189.74328728158784,7346.081782484242,287.75141068485664,119.08340233917366,2,22
Merapi,2,-7.54194,110.44194,2968,11770.0,9.1,270.0,70.0,155.0,22.75501104647357,184.23205401953825,193.70209603297232,12.967026025169377,11,3
Merapi,2,-7.54194,110.44194,2968,13370.0,2.1,270.0,65.0,160.0,109.5546145492042,3344.8915565482384,232.33293956141264,60.920059171254366,11,23
Merapi,3,-7.54194,110.44194,2968,27770.0,1.7999999999999998,270.0,75.0,433.0,160.40442390002988,2825.385090810629,268.913467767292,95.5995252759692,5,20
Merapi,2,-7.54194,110.44194,2968,14970.0,5.4,225.0,55.0,145.0,79.11673692476423,1013.1572987325331,248.67039341370105,40.25361459641392,5,21
Merapi,0,-7.54194,110.44194,2968,8650.0,2.7,135.0,14.0,14.0,28.28006755141947,276.3963675792221,267.52689023913564,15.275393730150824,5,10
Merapi,1,-7.54194,110.44194,2968,12410.0,2.6000000000000005,270.0,50.0,162.0,78.61342851174551,1043.673637987552,233.1153606256917,36.077143009755,5,3
Merapi,3,-7.54194,110.44194,2968,16672.000000000004,6.4,135.0,76.0,230.0,41.928901065001824,460.76668820691503,63.77942210575637,21.614938471063347,5,1
Merapi,3,-7.54194,110.44194,2968,23712.0,4.0,45.0,75.0,433.0,58.81662275894351,583.2985664805867,236.61400947574856,31.269054743893825,2,23
Merapi,2,-7.54194,110.44194,2968,18170.0,13.3,225.0,75.0,270.0,50.99244714964517,399.2160245385773,262.06289761080967,26.405087544365188,10,9
Merapi,2,-7.54194,110.44194,2968,11130.0,7.6,225.0,52.0,152.0,67.23611819198715,522.0517243964525,264.97404624438303,33.804512609568114,9,5
Merapi,0,-7.54194,110.44194,2968,11130.0,2.6000000000000005,45.0,52.0,152.0,129.1411339975616,4112.068519058134,238.8997410500604,61.70051083663899,6,13
Merapi,2,-7.54194,110.44194,2968,11770.0,1.5,315.0,50.0,162.0,101.43264482651152,920.8885041066636,241.688510483465,50.89858718332109,6,14
Merapi,2,-7.54194,110.44194,2968,16570.0,0.3999999999999999,270.0,76.0,230.0,89.06017148323518,1258.9925995195138,260.2045703917425,42.3986062043106,6,13
Merapi,3,-7.54194,110.44194,2968,27770.0,4.7,315.0,75.0,433.0,160.4712163649263,2027.257323898208,272.80058267501016,94.77298607000128,6,1
Merapi,0,-7.54194,110.44194,2968,8650.0,5.1,135.0,29.0,96.0,29.999288259249123,245.72816047244012,287.81381653060754,16.123892529790098,5,21
Merapi,2,-7.54194,110.44194,2968,13370.0,7.9,135.0,52.0,163.0,98.4545075942272,675.2376182703465,234.7109239948216,49.668875949224,5,3
Merapi,2,-7.54194,110.44194,2968,9210.0,6.3,225.0,28.0,154.0,30.17094496853403,385.675937056063,243.72974651414336,16.130328684022196,1,2
Semeru,2,-8.10805,112.92,3676,400.0,0.9999999999999996,45.0,22.0,110.0,12.237024358840278,153.36213556152524,271.1678272182759,7.328772220849376,3,14
Semeru,2,-8.10805,112.92,3676,500.0,5.0,45.0,22.0,146.0,22.656981086711905,766.8106778074355,298.7989029203077,12.188693936503634,3,1
Semeru,2,-8.10805,112.92,3676,500.0,10.599999999999998,45.0,22.0,110.0,49.537884442127066,1165.552230267302,90.64829560911554,25.24973853524513,2,1
Semeru,2,-8.10805,112.92,3676,600.0,15.4,45.0,21.0,96.0,44.35893134046793,828.1041218474554,93.06285471805694,23.311948737584416,2,0
Semeru,2,-8.10805,112.92,3676,400.0,12.8,45.0,21.0,99.0,12.601602777969266,245.33357881781228,175.3993393213977,7.113216077285635,2,23
