volcano_filter,alert_level,latitude,longitude,elevation,tinggi_letusan_m,kec_angin_km_jam,arah_angin_deg,amplitudo,duration,Bulan,Jam,jarak_km,luas_km2,sudut_deg,radius_km
Raung,2,-8.125,114.0419444,3332,16021.000000000002,5.8,112.5,9.0,124.0,2,22,143.41212261115265,1779.6021195606734,283.9043625335304,72.58855953242335
Semeru,2,-8.10805,112.92,3676,800.0,3.6,337.5,21.0,116.0,4,0,12.601602777969266,552.0694145651271,133.32081859397852,8.8887747338573
Semeru,2,-8.10805,112.92,3676,400.0,2.6000000000000005,225.0,22.0,113.0,10,8,22.760499255148485,858.8279591443278,278.62145456007954,12.64681819731008
Semeru,2,-8.10805,112.92,3676,300.0,4.7,225.0,20.0,62.0,10,17,12.213570232467887,153.37162676804678,335.7119051397495,7.269422101706802
Semeru,2,-8.10805,112.92,3676,1000.0,12.7,225.0,22.0,120.0,5,0,22.656981086711905,490.7588337967587,280.440845942059,12.870714052344228
Semeru,2,-8.10805,112.92,3676,1000.0,0.8999999999999995,225.0,22.0,117.0,8,22,19.805019780306363,276.08595979467435,308.2300499233825,10.919809304175365
Semeru,2,-8.10805,112.92,3676,300.0,2.3,270.0,22.0,127.0,5,16,27.52765006151073,490.8496690559911,321.99856293223104,13.567030650060016
Semeru,2,-8.10805,112.92,3676,500.0,7.9,225.0,22.0,112.0,7,3,29.604884777395323,920.1728133689226,275.7628714601548,14.5789461317752
Semeru,2,-8.10805,112.92,3676,500.0,3.9,225.0,22.0,128.0,10,23,23.3189554732816,337.438395304602,304.6774291517859,12.055244390471897
Semeru,2,-8.10805,112.92,3676,700.0,13.3,225.0,22.0,202.0,8,22,23.3189554732816,306.7621775496382,309.1083794274716,12.159723921085988
Semeru,2,-8.10805,112.92,3676,500.0,1.5,0.0,22.0,142.0,1,22,17.356332494463032,184.034562673778,85.22727653006422,9.000032266451157
Semeru,2,-8.10805,112.92,3676,700.0,4.1,202.5,22.0,165.0,1,22,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666
Semeru,2,-8.10805,112.92,3676,700.0,0.6000000000000001,157.5,22.0,173.0,2,0,49.82776582224859,858.8279591443278,89.28526453257695,25.892398388548163
Raung,1,-8.125,114.0419444,3332,1000.0,1.4,337.5,9.0,124.0,5,22,17.80995215487662,184.0299970839818,298.4626504979016,9.423329195975771
Semeru,2,-8.10805,112.92,3676,1000.0,8.5,180.0,22.0,125.0,12,18,17.358510364564754,153.3810887748191,329.65272076785635,8.560591663119942
Semeru,2,-8.10805,112.92,3676,600.0,3.2,90.0,21.0,127.0,9,18,12.213570232467887,184.0459521216561,319.63053967521046,6.975922779385601
Semeru,2,-8.10805,112.92,3676,400.0,2.8,225.0,21.0,98.0,12,13,17.358510364564754,214.73352428474672,341.8713804109474,10.024004251832247
Semeru,2,-8.10805,112.92,3676,900.0,12.8,45.0,20.0,99.0,8,3,24.62149621199832,981.5784113155344,312.8747475044503,13.323581495398471
Semeru,2,-8.10805,112.92,3676,600.0,3.2,225.0,22.0,135.0,5,1,28.11881987858083,736.0007364534105,246.94083102852505,15.464787251997864
Semeru,2,-8.10805,112.92,3676,500.0,1.9,225.0,22.0,120.0,1,13,12.237024358838871,153.36213556148164,88.83217278172344,7.328772220848782
Semeru,2,-8.10805,112.92,3676,300.0,7.6,225.0,22.0,110.0,9,7,22.01769522279153,1104.0700720046868,200.40819180286127,12.783081797932168
Semeru,2,-8.10805,112.92,3676,500.0,2.9,0.0,22.0,140.0,4,21,5.34291622527104,306.7242711229807,90.0,2.7798731661139087
Semeru,2,-8.10805,112.92,3676,600.0,6.2,0.0,22.0,116.0,1,11,7.671131386339246,122.68970844918528,69.05819614109845,4.684825971586667
Raung,1,-8.125,114.0419444,3332,500.0,2.5,112.5,9.0,124.0,12,13,11.677429531046062,460.1035013679104,351.99113257782494,6.130882376410448
Semeru,2,-8.10805,112.92,3676,1200.0,8.7,180.0,22.0,134.0,7,0,22.01769522279153,368.069125347569,267.3252916447165,12.16076170648298
Semeru,2,-8.10805,112.92,3676,900.0,4.9,270.0,22.0,118.0,12,16,12.213570232467887,122.69730141443742,36.32500204787863,6.361111987758738
Semeru,2,-8.10805,112.92,3676,600.0,7.9,0.0,22.0,124.0,1,10,17.358510364564754,214.73352428474672,18.12861958905262,10.024004251832247
