id,timestamp,volcano_filter,alert_level,latitude,longitude,elevation,tinggi_letusan_m,kec_angin_km_jam,arah_angin_deg,amplitudo,duration,jarak_km,luas_km2,sudut_deg,radius_km
1,2024-06-11 07:34:00 UTC,Merapi,Yellow,-7.54194,110.44194,2968,1000,4.7,270.0,50,30,32.51150547827304,614.3906504060418,303.25733468039374,18.304149177282483
2,2024-01-24 08:56:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,1000,8.0,135.0,51,168,27.761755566919156,460.7929878045314,37.901873395147206,15.89281919979614
3,2023-03-15 03:36:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,1200,7.1,90.0,65,133,44.62571400141726,614.2141501760491,265.6355055821134,23.934436622714394
4,2023-03-13 22:50:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,1500,3.2,135.0,70,160,22.998758868619046,184.28553033856673,288.10828004022756,11.77065860376459
5,2023-03-12 09:19:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,2500,8.3,315.0,70,145,39.159594802632,307.10707508802454,270.4626629499073,20.809693904712237
6,2023-03-12 00:08:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,2000,4.9,315.0,70,169,50.10174251055365,368.52849010573425,269.26260571969357,25.2353662965911
7,2023-03-11 06:06:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,3000,9.6,315.0,70,202,50.99244714964517,368.5070995740713,265.9448965135988,26.40704013726679
8,2023-03-11 05:12:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,3000,8.6,315.0,75,202,50.99244714964517,368.5070995740713,265.9448965135988,26.40704013726679
9,2022-03-09 17:00:00 UTC,Merapi,Red,-7.54194,110.44194,2968,3000,1.8,135.0,38,165,39.225233581377935,337.85680562060963,278.4283661054898,21.974258036303876
10,2021-12-01 14:41:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,1000,4.8,90.0,41,702,46.085947760071356,1351.9654393241412,341.66013523069654,25.838791040554693
11,2021-08-15 23:09:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,600,10.2,270.0,66,289,35.719180391514676,645.1101829263439,305.70985582789956,19.841630823162273
12,2021-08-07 23:45:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,1000,4.3,270.0,20,222,35.719180391514676,368.6343902436251,305.4721580801679,19.963780482108877
13,2021-06-29 04:50:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,500,4.9,270.0,60,152,31.62230968060985,737.2687804872502,311.30148564290755,18.182377674353862
14,2021-06-24 22:56:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,1000,3.1,135.0,75,245,29.999288259249123,245.72816047244018,295.305082272164,15.312416567124355
15,2021-01-09 02:29:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,9210,8.4,315.0,45,120,,,,
16,2020-06-21 02:48:00 UTC,Merapi,Red,-7.54194,110.44194,2968,27770,7.1,270.0,75,428,150.1229709670936,1657.69777439062,254.80517044079684,86.41514921825537
17,2020-04-10 02:16:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,18170,9.8,315.0,75,103,35.164678237822216,307.16020059055023,295.53378287748507,17.78896153033987
18,2020-04-02 08:21:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,18170,0.7,90.0,78,345,104.93562395322193,3071.248420623133,272.42879376217616,52.579863454535804
19,2020-03-28 17:20:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,13370,1.0,270.0,40,150,54.45898171320039,552.6961620587717,253.74840880715533,28.841455961164513
20,2020-03-28 12:35:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,18170,3.5,270.0,75,243,101.53877175699489,767.4981137902456,249.9105378989612,50.74618411929755
21,2020-03-27 22:41:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,14970,3.1,270.0,50,180,69.89847605115686,675.5175314049734,258.6072616260659,38.636532570677744
22,2020-03-27 14:49:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,11770,1.8,270.0,40,180,58.84573981351421,552.5659247968733,229.11797410593996,30.621051437154872
23,2020-03-27 04:15:00 UTC,Merapi,Red,-7.54194,110.44194,2968,24570,4.7,225.0,75,420,63.15440049194429,522.2022466345037,286.2853028230859,33.25370275162348
24,2020-03-02 22:50:00 UTC,Merapi,Red,-7.54194,110.44194,2968,27770,3.4,315.0,75,450,132.59375518657248,2180.079305898488,265.77018951921127,77.51040740829411
25,2020-02-12 22:43:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,14970,3.6,315.0,75,105,189.74328728158784,7346.0817824842425,287.75141068485664,119.08340233917365
26,2019-11-17 03:54:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,11770,9.1,270.0,70,155,22.75501104647357,184.23205401953823,193.70209603297232,12.967026025169375
27,2019-11-08 23:43:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,13370,2.1,270.0,65,160,109.5546145492042,3344.8915565482384,232.33293956141262,60.920059171254366
28,2018-05-23 20:16:00 UTC,Merapi,Red,-7.54194,110.44194,2968,27770,1.8,270.0,75,433,160.40442390002988,2825.385090810629,268.913467767292,95.59952527596921
29,2018-05-22 21:28:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,14970,5.4,225.0,55,145,79.11673692476423,1013.1572987325331,248.67039341370105,40.25361459641392
30,2018-05-22 10:22:00 UTC,Merapi,Green,-7.54194,110.44194,2968,8650,2.7,135.0,14,14,28.28006755141947,276.3963675792221,267.52689023913564,15.275393730150824
31,2018-05-21 03:17:00 UTC,Merapi,Yellow,-7.54194,110.44194,2968,12410,2.6,270.0,50,162,78.61342851174551,1043.673637987552,233.11536062569166,36.077143009755
32,2018-05-11 01:40:00 UTC,Merapi,Red,-7.54194,110.44194,2968,16672,6.4,135.0,76,230,41.92890106500182,460.76668820691503,63.77942210575636,21.614938471063347
33,2016-02-16 23:45:00 UTC,Merapi,Red,-7.54194,110.44194,2968,23712,4.0,45.0,75,433,58.81662275894351,583.2985664805867,236.61400947574856,31.269054743893822
