timestamp,volcano_filter,alert_level,lat,long,elevation,tinggi_letusan_m,kec_angin_km_jam,arah_angin_deg,amplitudo,duration,jarak_km,luas_km2,sudut_deg,radius_km
2026-03-02 14:07:00 UTC,Semeru,Orange,-8.10805,112.92,3676,400,1,45,22,110,,,,
2026-03-01 01:36:00 UTC,Semeru,Orange,-8.10805,112.92,3676,500,5,45,22,146,,,,
2026-02-26 01:23:00 UTC,Semeru,Orange,-8.10805,112.92,3676,500,10.6,45,22,110,,,,
2026-02-25 00:46:00 UTC,Semeru,Orange,-8.10805,112.92,3676,600,15.4,45,21,96,,,,
2026-02-24 23:37:00 UTC,Semeru,Orange,-8.10805,112.92,3676,400,12.8,45,21,99,,,,
2026-02-22 00:49:00 UTC,Semeru,Orange,-8.10805,112.92,3676,900,5.5,22.5,21,84,,,,
2026-02-22 00:04:00 UTC,Semeru,Orange,-8.10805,112.92,3676,900,5.5,22.5,22,118,,,,
2026-02-21 23:01:00 UTC,Semeru,Orange,-8.10805,112.92,3676,700,4.9,45,22,135,,,,
2026-02-20 00:15:00 UTC,Semeru,Orange,-8.10805,112.92,3676,900,10.9,22.5,22,125,,,,
2026-02-19 22:56:00 UTC,Semeru,Orange,-8.10805,112.92,3676,500,1.7,0,22,115,,,,
2026-02-19 22:49:00 UTC,Semeru,Orange,-8.10805,112.92,3676,1000,1.7,90,22,118,,,,
2026-02-19 17:24:00 UTC,Semeru,Orange,-8.10805,112.92,3676,700,4.2,0,22,112,,,,
2026-02-19 17:14:00 UTC,Semeru,Orange,-8.10805,112.92,3676,700,4.2,0,22,117,,,,
2026-02-19 16:50:00 UTC,Semeru,Orange,-8.10805,112.92,3676,800,2.7,0,22,115,,,,
2026-02-19 03:30:00 UTC,Semeru,Orange,-8.10805,112.92,3676,800,3,45,22,115,,,,
2026-02-19 01:00:00 UTC,Semeru,Orange,-8.10805,112.92,3676,800,3,45,22,101,,,,
2026-02-19 00:24:00 UTC,Semeru,Orange,-8.10805,112.92,3676,500,4.5,45,15,92,,,,
2026-02-18 21:32:00 UTC,Semeru,Orange,-8.10805,112.92,3676,500,1.4,45,22,106,,,,
2026-02-18 16:58:00 UTC,Semeru,Orange,-8.10805,112.92,3676,600,2.7,45,22,101,,,,
2026-02-18 16:28:00 UTC,Semeru,Orange,-8.10805,112.92,3676,700,2.7,0,22,119,,,,
2026-02-17 17:41:00 UTC,Semeru,Orange,-8.10805,112.92,3676,500,4.2,202.5,22,98,,,,
2026-02-17 17:28:00 UTC,Semeru,Orange,-8.10805,112.92,3676,400,4.2,225,22,110,,,,
2026-02-17 16:44:00 UTC,Semeru,Orange,-8.10805,112.92,3676,1000,2.4,157.5,23,148,,,,
2026-02-17 14:50:00 UTC,Semeru,Orange,-8.10805,112.92,3676,800,3.1,112.5,21,119,,,,
2026-02-17 13:25:00 UTC,Semeru,Orange,-8.10805,112.92,3676,800,5.1,112.5,21,107,,,,
2026-02-17 12:45:00 UTC,Semeru,Orange,-8.10805,112.92,3676,500,8.9,67.5,21,105,,,,
2026-02-14 22:56:00 UTC,Semeru,Orange,-8.10805,112.92,3676,400,4.2,45,20,89,,,,
2026-02-14 22:09:00 UTC,Semeru,Orange,-8.10805,112.92,3676,700,4.2,45,22,123,,,,
2026-02-14 02:08:00 UTC,Semeru,Orange,-8.10805,112.92,3676,900,13.8,22.5,22,102,,,,
2026-02-14 00:25:00 UTC,Semeru,Orange,-8.10805,112.92,3676,1500,10,22.5,20,275,,,,
2026-02-13 22:54:00 UTC,Semeru,Orange,-8.10805,112.92,3676,2000,5.5,22.5,25,2388,,,,
2026-02-13 03:56:00 UTC,Semeru,Orange,-8.10805,112.92,3676,1000,9.7,22.5,20,250,,,,
2026-02-13 00:42:00 UTC,Semeru,Orange,-8.10805,112.92,3676,1000,13.7,22.5,23,133,,,,
2026-02-11 22:47:00 UTC,Semeru,Orange,-8.10805,112.92,3676,600,5.9,0,22,117,,,,
2026-02-11 17:34:00 UTC,Semeru,Orange,-8.10805,112.92,3676,700,4.1,0,22,89,,,,
2026-02-11 17:10:00 UTC,Semeru,Orange,-8.10805,112.92,3676,900,4.1,0,22,101,,,,
2026-02-10 22:36:00 UTC,Semeru,Orange,-8.10805,112.92,3676,1000,4.8,45,22,116,,,,
2026-02-10 17:52:00 UTC,Semeru,Orange,-8.10805,112.92,3676,400,8.1,0,22,75,,,,
2026-02-10 17:28:00 UTC,Semeru,Orange,-8.10805,112.92,3676,600,8.1,0,22,84,,,,
2026-02-10 00:32:00 UTC,Semeru,Orange,-8.10805,112.92,3676,1000,0.6,0,22,118,,,,
2026-02-09 11:32:00 UTC,Semeru,Orange,-8.10805,112.92,3676,900,2.3,0,22,110,,,,
2026-02-09 09:30:00 UTC,Semeru,Orange,-8.10805,112.92,3676,800,8,45,22,134,,,,
2026-02-08 22:50:00 UTC,Semeru,Orange,-8.10805,112.92,3676,500,2.3,45,22,113,,,,
2026-02-05 23:49:00 UTC,Semeru,Orange,-8.10805,112.92,3676,700,0.4,45,22,125,,,,
2026-02-05 23:30:00 UTC,Semeru,Orange,-8.10805,112.92,3676,500,0.4,45,22,110,,,,
2026-02-05 22:33:00 UTC,Semeru,Orange,-8.10805,112.92,3676,600,2.3,180,22,119,,,,
2026-02-05 17:44:00 UTC,Semeru,Orange,-8.10805,112.92,3676,400,6.1,180,22,103,,,,
2026-02-05 17:37:00 UTC,Semeru,Orange,-8.10805,112.92,3676,800,6.1,180,22,115,,,,
2026-02-05 16:57:00 UTC,Semeru,Orange,-8.10805,112.92,3676,600,7.7,180,22,120,,,,
2026-02-05 16:49:00 UTC,Semeru,Orange,-8.10805,112.92,3676,700,7.7,180,22,112,,,,
2026-02-05 00:06:00 UTC,Semeru,Orange,-8.10805,112.92,3676,600,7.1,45,22,121,,,,
2026-02-04 22:33:00 UTC,Semeru,Orange,-8.10805,112.92,3676,500,5.3,90,21,97,,,,
2026-02-04 22:23:00 UTC,Semeru,Orange,-8.10805,112.92,3676,800,5.3,90,22,120,,,,
2026-02-04 17:48:00 UTC,Semeru,Orange,-8.10805,112.92,3676,800,3.1,0,22,119,,,,
2026-02-04 17:13:00 UTC,Semeru,Orange,-8.10805,112.92,3676,1000,3.1,0,22,126,,,,
