id,timestamp,volcano_filter,alert_level,latitude,longitude,elevation,tinggi_letusan_m,kec_angin_km_jam,arah_angin_deg,amplitudo,duration,jarak_km,luas_km2,sudut_deg,radius_km
12,2021-08-07 23:45:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,1000,4.3,270,20,222,,,,
15,2021-01-09 02:29:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,9210,8.4,315,45,120,,,,
16,2020-06-21 02:48:00 UTC,Merapi,Red,-7.54194,110.44194,2968,27770,7.1,270,75,428,,,,
17,2020-04-10 02:16:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,18170,9.8,315,75,103,,,,
18,2020-04-02 08:21:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,18170,0.7,90,78,345,,,,
19,2020-03-28 17:20:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,13370,1,270,40,150,,,,
20,2020-03-28 12:35:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,18170,3.5,270,75,243,,,,
21,2020-03-27 22:41:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,14970,3.1,270,50,180,,,,
22,2020-03-27 14:49:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,11770,1.8,270,40,180,,,,
23,2020-03-27 04:15:00 UTC,Merapi,Red,-7.54194,110.44194,2968,24570,4.7,225,75,420,,,,
24,2020-03-02 22:50:00 UTC,Merapi,Red,-7.54194,110.44194,2968,27770,3.4,315,75,450,,,,
25,2020-02-12 22:43:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,14970,3.6,315,75,105,,,,
26,2019-11-17 03:54:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,11770,9.1,270,70,155,,,,
27,2019-11-08 23:43:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,13370,2.1,270,65,160,,,,
28,2018-05-23 20:16:00 UTC,Merapi,Red,-7.54194,110.44194,2968,27770,1.8,270,75,433,,,,
29,2018-05-22 21:28:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,14970,5.4,225,55,145,,,,
30,2018-05-22 10:22:00 UTC,Merapi,Green,-7.54194,110.44194,2968,8650,2.7,135,14,14,,,,
31,2018-05-21 03:17:00 UTC,Merapi,Yellow,-7.54194,110.44194,2968,12410,2.6,270,50,162,,,,
32,2018-05-11 01:40:00 UTC,Merapi,Red,-7.54194,110.44194,2968,16672,6.4,135,76,230,,,,
33,2016-02-16 23:45:00 UTC,Merapi,Red,-7.54194,110.44194,2968,23712,4,45,75,433,,,,
34,2019-10-14 09:44:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,18170,13.3,225,75,270,,,,
35,2019-09-22 05:08:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,11130,7.6,225,52,152,,,,
36,2018-06-03 13:39:00 UTC,Merapi,Green,-7.54194,110.44194,2968,11130,2.6,45,52,152,,,,
37,2018-06-01 14:07:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,11770,1.5,315,50,162,,,,
38,2018-06-01 13:32:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,16570,0.4,270,76,230,,,,
39,2018-06-01 01:31:00 UTC,Merapi,Red,-7.54194,110.44194,2968,27770,4.7,315,75,433,,,,
40,2018-05-25 21:34:00 UTC,Merapi,Green,-7.54194,110.44194,2968,8650,5.1,135,29,96,,,,
41,2018-05-24 03:57:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,13370,7.9,135,52,163,,,,
42,2021-01-07 02:57:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,9210,6.3,225,28,154,,,,
159,2026-01-07 22:25:00 UTC,Semeru,Orange,-8.10805,112.92,3676,700,8.3,0,22,115,,,,
160,2026-01-07 22:19:00 UTC,Semeru,Orange,-8.10805,112.92,3676,600,8.3,0,22,110,,,,
310,2025-12-07 21:30:00 UTC,Semeru,Orange,-8.10805,112.92,3676,500,3.5,225,22,126,,,,
419,2025-11-19 08:49:00 UTC,Semeru,Orange,-8.10805,112.92,3676,2000,5.2,337.5,38,1000,,,,
435,2025-11-07 21:39:00 UTC,Semeru,Orange,-8.10805,112.92,3676,500,0.9,225,22,155,,,,
436,2025-11-07 21:20:00 UTC,Semeru,Orange,-8.10805,112.92,3676,500,0.9,225,22,122,,,,
538,2025-10-07 22:50:00 UTC,Semeru,Orange,-8.10805,112.92,3676,600,7.2,180,22,94,,,,
539,2025-10-07 22:36:00 UTC,Semeru,Orange,-8.10805,112.92,3676,400,7.2,180,22,92,,,,
540,2025-10-07 22:22:00 UTC,Semeru,Orange,-8.10805,112.92,3676,500,7.2,180,22,89,,,,
