id,timestamp,volcano_filter,alert_level,latitude,longitude,elevation,tinggi_letusan_m,kec_angin_km_jam,arah_angin_deg,amplitudo,duration,jarak_km,luas_km2,sudut_deg,radius_km
12,2021-08-07 23:45:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,1000,4.3,270.0,20,222,15.962147941098769,153.58010029527512,303.267199845612,8.552653062000767
15,2021-01-09 02:29:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,9210,8.4,315.0,45,120,,,,
16,2020-06-21 02:48:00 UTC,Merapi,Red,-7.54194,110.44194,2968,27770,7.1,270.0,75,428,75.1482486997477,675.5175314049734,255.4809190739893,43.740503631293095
17,2020-04-10 02:16:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,18170,9.8,315.0,75,103,17.7175583047046,153.57127528209529,297.8417501969058,8.903735134721932
18,2020-04-02 08:21:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,18170,0.7,90.0,78,345,49.81927174677937,1535.6242103115665,274.80711436996785,25.026488926617667
19,2020-03-28 17:20:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,13370,1.0,270.0,40,150,29.832971628994887,337.7981746094693,256.2564471851556,16.445498151035714
20,2020-03-28 12:35:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,18170,3.5,270.0,75,243,49.46950781007816,368.46410803907645,252.32553698586622,25.79345412893984
21,2020-03-27 22:41:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,14970,3.1,270.0,50,180,35.02067958313757,307.0892496449721,262.5533935606324,19.702863057978767
22,2020-03-27 14:49:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,11770,1.8,270.0,40,180,31.31011203579337,245.64273869278742,232.77468297803904,18.270962467918956
23,2020-03-27 04:15:00 UTC,Merapi,Red,-7.54194,110.44194,2968,24570,4.7,225.0,75,420,29.999288259249123,245.72816047244018,287.81381653060754,16.123892529790098
24,2020-03-02 22:50:00 UTC,Merapi,Red,-7.54194,110.44194,2968,27770,3.4,315.0,75,450,66.56480971228767,706.3052741834358,267.7449399361168,36.62590795100532
25,2020-02-12 22:43:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,14970,3.6,315.0,75,105,95.43560972483048,1782.0359261320036,287.4452171527572,60.81200517006998
26,2019-11-17 03:54:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,11770,9.1,270.0,70,155,10.905870930882834,460.63387446748436,210.64604086929558,5.519310314922105
27,2019-11-08 23:43:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,13370,2.1,270.0,65,160,54.788116213266875,1013.0975102031242,231.84988392214467,29.658980917783367
28,2018-05-23 20:16:00 UTC,Merapi,Red,-7.54194,110.44194,2968,27770,1.8,270.0,75,433,77.55696041306638,952.0870103931678,270.201560298959,48.563788677536934
29,2018-05-22 21:28:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,14970,5.4,225.0,55,145,37.127804129867094,429.8999120310535,251.77693670664775,20.338145464465526
30,2018-05-22 10:22:00 UTC,Merapi,Green,-7.54194,110.44194,2968,8650,2.7,135.0,14,14,12.442593577103253,122.84283003520983,275.34257387338823,7.428792792254316
31,2018-05-21 03:17:00 UTC,Merapi,Yellow,-7.54194,110.44194,2968,12410,2.6,270.0,50,162,43.220232645876195,307.03542253669514,237.42000398976347,21.735603403526603
32,2018-05-11 01:40:00 UTC,Merapi,Red,-7.54194,110.44194,2968,16672,6.4,135.0,76,230,24.602185526732885,276.4441805314952,60.92557935645172,13.431661639344224
33,2016-02-16 23:45:00 UTC,Merapi,Red,-7.54194,110.44194,2968,23712,4.0,45.0,75,433,27.68401091777039,214.94995601558782,241.47844412258195,15.340885225509297
34,2019-10-14 09:44:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,18170,13.3,225.0,75,270,22.891724946719023,184.26424505286712,267.92303063398776,11.697784298226551
35,2019-09-22 05:08:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,11130,7.6,225.0,52,152,33.70820602687642,245.68566007041966,271.55253862209713,17.645543293438443
36,2018-06-03 13:39:00 UTC,Merapi,Green,-7.54194,110.44194,2968,11130,2.6,45.0,52,152,70.83592604536544,1442.8964539256874,238.072656363168,36.182091937165346
37,2018-06-01 14:07:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,11770,1.5,315.0,50,162,52.18044919018062,460.5531338050427,245.68828041170227,27.96656378634816
